doi,title,authors,journal,year,start_sampling_year,end_sampling_year,sampling_duration,sampling_site,sampling_latitude,sampling_longitude,sampling_city,sampling_region,sampling_country,sampling_continent,island,min_ias_abundance,max_ias_abundance,avg_ias_abundance,ias_abundance_unit,study_area,area_km2,ind_per_km2,experimental,habitat,kingdom,phylum,class,Group_for_score,species,doi_clean
10.1007/s10530-022-02905-4,Food web of Mocha Island (Chile) reveals the interaction between the invasive Rattus rattus and the endemic anuran Eupsophus insularis,Gabriel Lobos; Gianina Tapia; Catalina Sagredo; Marcela Vidal,Biological Invasions,2022,2018,2018,1,Isla Mocha National Reserve,-38.367,-73.918,,BiobÃƒÂ­o Region,Chile,South America,yes,10,10,10,N,,24.2,0.41322314,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1007/s10530-022-02905-4
10.1007/s10530-023-03161-w,Protection and mortality of non-target terrestrial bird species during the eradication of rodents on LordÃ‚Â Howe Island,T. W. OÃ¢â‚¬â„¢Dwyer; N. Carlile; L. OÃ¢â‚¬â„¢Neill; H. Fairlamb; H. Bower,Biological Invasions,2023,2019,2021,2,"Settlement Area, Lord Howe Island",-31.554,159.084,Lord Howe Island,New South Wales,Australia,Oceania,yes,96,96,96,N,190,1.9,50.52631579,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1007/s10530-023-03161-w
10.1016/j.biocon.2017.08.015,Controlling invasive predators enhances the long-term survival of endangered New Zealand long-tailed bats (Chalinolobus tuberculatus): Implications for conservation of bats on oceanic islands,Colin F.J. O'Donnell; Moira A. Pryde; Paul van Dam-Bates; Graeme P. Elliott,Biological Conservation,2017,1993,2015,22,Eglinton Valley,-44.967,168.017,,Fiordland,New Zealand,Oceania,yes,6.5,6.5,6.5,ind/ha,3350,33.5,650,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1016/j.biocon.2017.08.015
10.1016/j.biocon.2023.109934,Free-roaming dogs but not invasive mammals established in the wild endanger the flightless kagu of New Caledonia,JÃƒÂ¶rn Theuerkauf; Sophie Rouys; Henri Bloc; Gavin R. Hunt; Ralph Kuehn; Roman Gula,Biological Conservation,2023,2011,2022,11,"Parc Provincial de la Rivière Bleue (PPRB), Parc Provincial des Grandes Fougères (PPGF), Réserve Spéciale Botanique du Pic Ningua and nearby Mt. Cindoa (PN + MC)",-21.84568995,166.2886,,Province Sud,New Caledonia,Oceania,yes,602,602,602,N,,268.6,2.241250931,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1016/j.biocon.2023.109934
10.1016/j.envsci.2015.05.002,"The impact and legislative framework of invasive mammals on Portuguese Macaronesian islands: A case study on Corvo, Azores",Sandra HervÃƒÂ­as Parejo; JosÃƒÂ© Benedicto Royuela; Juan L. RodrÃƒÂ­guez-Luengo; Jaime A. Ramos; FÃƒÂ©lix M. Medina; Pedro Geraldes; RocÃƒÂ­o Ruiz de YbÃƒÂ¡ÃƒÂ±ez; Manuel Nogales,Environmental Science &amp; Policy,2015,2010,2012,2,Corvo Island,39.6975,-31.105278,Vila do Corvo,Azores,Portugal,Europe,yes,30,30,30,ind/100 trap nights,4000m2,17,1.764705882,,Marine,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1016/j.envsci.2015.05.002
10.1016/s0261-2194(97)00062-8,The role of adjacent habitats in rodent damage levels in Australian macadamia orchard systems,J White; J Wilson; K Horskins,Crop Protection,1997,1995,1996,1,"Sunshine Coast, Queensland; six macadamia orchards",-26.65,153.067,Sunshine Coast,Queensland,Australia,Oceania,no,696,696,696,N,68,0.68,1023.529412,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1016/s0261-2194(97)00062-8
10.1017/s0030605305001286,Monitoring invasive mammalian predator populations sharing habitat with the Critically Endangered Puerto Rican parrot <i>Amazona vittata</i>,Richard Engeman; Desley Whisson; Jessica Quinn; Felipe Cano; Pedro QuiÃƒÂ±ones; Thomas H. White Jr,Oryx,2005,2002,2002,0,"Palo Colorado forest type, Caribbean National Forest (Sites 1Ã¢â‚¬â€œ5)",18.3,-65.8,RÃƒÂ­o Grande,Sierra de Luquillo Mountains,Puerto Rico,North America,yes,214,214,214,N,3300,33,6.484848485,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1017/s0030605305001286
10.1017/s0959270900001283,"Conservation of the Dark-rumped Petrel <i>Pterodroma phaeopygia</i> of the GalÃƒÂ¡pagos Islands, 1982Ã¢â‚¬â€œ1991",Justine B. Cruz; Felipe Cruz,Bird Conservation International,1996,1983,1986,1,"Cerro Pajas, Floreana Island",-1.287,-90.459,,Galapagos Islands,Ecuador,South America,yes,55,55,55,N,,173,0.317919075,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1017/s0959270900001283
10.1017/s1367943001001202,"Effects of forest fragmentation, introduced <i>Rattus rattus</i> and the role of exotic tree plantations and secondary vegetation for the conservation of an endemic rodent and a small lemur in littoral forests of southeastern Madagascar",JeanÃ¢â‚¬ÂBaptiste Ramanamanjato; JÃƒÂ¶rg U. Ganzhorn,Animal Conservation,2001,1998,2000,2,Madagascar Littoral Forests,-24.95568891,46.99604229,Tolagnaro (Fort Dauphin),Tolagnaro (Fort Dauphin) region,Madagascar,Africa,yes,81,81,81,N,453.5,4.535,17.86108049,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1017/s1367943001001202
10.1017/s1367943003003196,Effects of introduced <i>Rattus rattus</i> on endemic small mammals in dry deciduous forest fragments of western Madagascar,JÃƒÂ¶rg U. Ganzhorn,Animal Conservation,2003,1988,1997,9,"Menabe region around Morondava; primary and secondary dry deciduous forest fragments, plantation, and savanna sites",-20.24934051,44.43179567,Morondava,Menabe,Madagascar,Africa,yes,4067.659,4067.659,4067.659,captures/100 trap-nights,90818.8,908.188,4.478873317,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1017/s1367943003003196
10.1023/a:1016687608020,Habitat use by endemic and introduced rodents along a gradient of forest disturbance in Madagascar,Jukka Lehtonen; Olli Mustonen; Haingotiana Ramiarinjanahary; Jari NiemelÃƒÂ¤; Hannu Rita,,,1996,1996,0,Ranomafana National Park,-21.25,47.426,Ranomafana,Fianarantsoa Province,Madagascar,Africa,yes,61,61,61,N,43500,908.188,0.06716671,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1023/a:1016687608020
10.1038/s41598-021-96306-7,Secondary seed removal in a degraded forest habitat in Madagascar,Paula M. A. Fiedler; Alice De Lapparent; Jeremie Razafitsalama; Justin Sanamo; Kim J. E. Steffens; JÃƒÂ¶rg U. Ganzhorn,Scientific Reports,2021,2019,2019,0,Oronjia Protected Area,-12.273,49.386,,,Madagascar,Africa,yes,9,9,9,N,,0.0399,225.5639098,Flagged,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1038/s41598-021-96306-7
10.1038/srep38627,Using effect size benchmarks to assess when alien impacts are actually alien,Helen M. Smith; Chris R. Dickman; Peter B. Banks,Scientific Reports,2017,2012,2013,1,Two wooded urban sites in south-eastern Sydney,-33.99999997,150.9999893,Sydney,,Australia,Oceania,no,1.73,18.04,9.885,ind/ha,8,0.08,988.5,Flagged,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1038/srep38627
10.1046/j.1523-1739.1993.07020316.x,"Potential Impact of Mammalian Nest Predators on Endemic Forest Birds of Western Mauna Kea, Hawaii",Priyanga Amarasekare,,,,,,Western Mauna Kea - intermediate elevation mamaneÃ¢â‚¬â€œnaio area,19.82,-155.468,,Hawaii,United States of America,North America,yes,0.06,0.07,0.065,ind/ha,700,7,6.5,Flagged,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1046/j.1523-1739.1993.07020316.x
10.1046/j.1523-1739.2000.99190.x,"Black Rats, Island Characteristics, and Colonial Nesting Birds in the Mediterranean: Consequences of an Ancient Introduction",JeanÃ¢â‚¬ÂLouis Martin; JeanÃ¢â‚¬ÂClaude Thibault; Vincent Bretagnolle,Conservation Biology,2000,1979,1997,18,"Toro, Corsica",42.09153756,9.107255188,,Corsica,France,Europe,yes,,,50,ind/ha,2.6,0.026,5000,,Marine,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1046/j.1523-1739.2000.99190.x
10.1071/wr22068,Investigating the impact of black rats (Rattus rattus) on the endemic and threatened avifauna of Christmas Island,Rosalie Willacy; Samantha Flakus; Eve McDonald-Madden; Sarah Legge,Wildlife Research,2023,2017,2018,1,Christmas Island,-10.48669198,105.6262081,,Christmas Island,Australia,Oceania,yes,4.2,32,18.1,ind/ha,,135,1810,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1071/wr22068
10.1073/pnas.1210981109,Exploiting olfactory learning in alien rats to protect birdsÃ¢â‚¬â„¢ eggs,Catherine J. Price; Peter B. Banks,Proceedings of the National Academy of Sciences,2012,,,,Sydney Harbour National Park,-33.8175803,151.2896982,Sydney,New South Wales,Australia,Oceania,no,25,25,25,ind/ha,41,0.41,2500,Flagged,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1073/pnas.1210981109
10.1098/rstb.2009.0288,How to save the rarest Darwin's finch from extinction: the mangrove finch on Isabela Island,Birgit Fessl; Glyn H. Young; Richard P. Young; Jorge RodrÃƒÂ­guez-Matamoros; Michael Dvorak; Sabine Tebbich; John E. Fa,Philosophical Transactions of the Royal Society B: Biological Sciences,2010,2006,2009,3,Playa Tortuga Negra (PTN),-0.23335454,-91.38333708,,Galapagos,Ecuador,South America,yes,20,28,24,rats per 100 trap nights,15,0.15,,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1098/rstb.2009.0288
10.1111/j.1365-2664.2009.01735.x,Competition in an invaded rodent community reveals black rats as a threat to native bush rats in littoral rainforest of southÃ¢â‚¬Âeastern Australia,Vicki L. Stokes; Peter B. Banks; Roger P. Pech; David M. Spratt,Journal of Applied Ecology,2009,2004,2006,2,"Beecroft Peninsula littoral rainforest, north of Jervis Bay",-35.05126905,150.8082893,Currarong,New South Wales,Australia,Australia,no,167,167,167,N,10,0.1,1670,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1111/j.1365-2664.2009.01735.x
10.1111/j.1469-7998.1970.tb01284.x,Food preferences of an insular population of <i>Rattus rattus</i>,F. I. Norman,Journal of Zoology,1970,1965,1968,3,"Big Green Island, Furneaux Group",-40.18350731,147.9795734,Whitemark,Tasmania,Australia,Oceania,yes,254,254,254,N,98,0.98,259.1836735,Flagged,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1111/j.1469-7998.1970.tb01284.x
10.1111/j.1469-7998.2000.tb01069.x,The effects of forest fragmentation and isolation on insectivorous small mammals (Lipotyphla) on the Central High Plateau of Madagascar,Steven M. Goodman; Daniel Rakotondravony,Journal of Zoology,2000,1997,1997,0,RÃƒÂ©serve SpÃƒÂ©ciale d'Ambohitantely,-18.14999998,47.26667742,Ankazobe,Analamanga,Madagascar,Africa,yes,86,86,86,N,1428.64,14.2864,6.019711054,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1111/j.1469-7998.2000.tb01069.x
10.1111/jzo.13063,"Habitat mosaic as a driver of the resilience of native species: The case of the assemblage of small mammals from the city of Franceville, Gabon",J. B. MangombiÃ¢â‚¬ÂPambou; O. FossatiÃ¢â‚¬ÂGaschignard; N. N'Dilimabaka; O. Banga MveÃ¢â‚¬ÂElla; N. M. Longo Pendy; S. E. Dibakou; O. Mediannikov; F. Fenollar; E. Leroy; M. Bourgarel,Journal of Zoology,2023,2013,2014,1,"Franceville city: six districts (Mangoungou, Mbaya, Sable, YÃƒÂ©nÃƒÂ©, OmbÃƒÂ©lÃƒÂ©, Potos) and vegetation patches",-1.633,13.583,Franceville,,Gabon,Africa,no,155,155,155,N,2.33,0.0233,6652.360515,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1111/jzo.13063
10.1111/mve.12739,Are <i>Rattus rattus</i> fleas invasive? Evaluation of flea communities in invasive and native rodents in Chile,Nicol LizamaÃ¢â‚¬ÂSchmeisser; Elaine Serafin de Castro; Mario EspinozaÃ¢â‚¬ÂCarniglia; Yessica Herrera; MarÃƒÂ­a Carolina SilvaÃ¢â‚¬Âde La Fuente; Marcela Lareschi; Lucila Moreno,Medical and Veterinary Entomology,2024,2016,2018,2,Iquique,-20.216667,-70.15,Iquique,,Chile,South America,,2,2,2,N,,0.08,25,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1111/mve.12739
10.1111/mve.12739,Are <i>Rattus rattus</i> fleas invasive? Evaluation of flea communities in invasive and native rodents in Chile,Nicol LizamaÃ¢â‚¬ÂSchmeisser; Elaine Serafin de Castro; Mario EspinozaÃ¢â‚¬ÂCarniglia; Yessica Herrera; MarÃƒÂ­a Carolina SilvaÃ¢â‚¬Âde La Fuente; Marcela Lareschi; Lucila Moreno,Medical and Veterinary Entomology,2024,2016,2018,2,Pampa del Tamarugal NR,-20.4722,-69.6733,Pampa del Tamarugal NR,,Chile,South America,,10,10,10,N,,0.08,125,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1111/mve.12739
10.1111/mve.12739,Are <i>Rattus rattus</i> fleas invasive? Evaluation of flea communities in invasive and native rodents in Chile,Nicol LizamaÃ¢â‚¬ÂSchmeisser; Elaine Serafin de Castro; Mario EspinozaÃ¢â‚¬ÂCarniglia; Yessica Herrera; MarÃƒÂ­a Carolina SilvaÃ¢â‚¬Âde La Fuente; Marcela Lareschi; Lucila Moreno,Medical and Veterinary Entomology,2024,2016,2018,2,El Morai,-30.53296853,-71.61720048,El Morai,,Chile,South America,,8,8,8,N,,0.08,100,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1111/mve.12739
10.1111/mve.12739,Are <i>Rattus rattus</i> fleas invasive? Evaluation of flea communities in invasive and native rodents in Chile,Nicol LizamaÃ¢â‚¬ÂSchmeisser; Elaine Serafin de Castro; Mario EspinozaÃ¢â‚¬ÂCarniglia; Yessica Herrera; MarÃƒÂ­a Carolina SilvaÃ¢â‚¬Âde La Fuente; Marcela Lareschi; Lucila Moreno,Medical and Veterinary Entomology,2024,2016,2018,2,Monte Patria,-30.833333,-70.7,Monte Patria,,Chile,South America,,13,13,13,N,,0.08,162.5,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1111/mve.12739
10.1111/mve.12739,Are <i>Rattus rattus</i> fleas invasive? Evaluation of flea communities in invasive and native rodents in Chile,Nicol LizamaÃ¢â‚¬ÂSchmeisser; Elaine Serafin de Castro; Mario EspinozaÃ¢â‚¬ÂCarniglia; Yessica Herrera; MarÃƒÂ­a Carolina SilvaÃ¢â‚¬Âde La Fuente; Marcela Lareschi; Lucila Moreno,Medical and Veterinary Entomology,2024,2016,2018,2,Sotaqui,-30.63626529,-71.11739084,Sotaqui,,Chile,South America,,14,14,14,N,,0.08,175,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1111/mve.12739
10.1111/mve.12739,Are <i>Rattus rattus</i> fleas invasive? Evaluation of flea communities in invasive and native rodents in Chile,Nicol LizamaÃ¢â‚¬ÂSchmeisser; Elaine Serafin de Castro; Mario EspinozaÃ¢â‚¬ÂCarniglia; Yessica Herrera; MarÃƒÂ­a Carolina SilvaÃ¢â‚¬Âde La Fuente; Marcela Lareschi; Lucila Moreno,Medical and Veterinary Entomology,2024,2016,2018,2,Canela Baja,-31.398419,-71.457575,Canela Baja,,Chile,South America,,6,6,6,N,,0.08,75,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1111/mve.12739
10.1111/mve.12739,Are <i>Rattus rattus</i> fleas invasive? Evaluation of flea communities in invasive and native rodents in Chile,Nicol LizamaÃ¢â‚¬ÂSchmeisser; Elaine Serafin de Castro; Mario EspinozaÃ¢â‚¬ÂCarniglia; Yessica Herrera; MarÃƒÂ­a Carolina SilvaÃ¢â‚¬Âde La Fuente; Marcela Lareschi; Lucila Moreno,Medical and Veterinary Entomology,2024,2016,2018,2,Illapel,-31.633333,-71.166667,Illapel,,Chile,South America,,17,17,17,N,,0.08,212.5,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1111/mve.12739
10.1111/mve.12739,Are <i>Rattus rattus</i> fleas invasive? Evaluation of flea communities in invasive and native rodents in Chile,Nicol LizamaÃ¢â‚¬ÂSchmeisser; Elaine Serafin de Castro; Mario EspinozaÃ¢â‚¬ÂCarniglia; Yessica Herrera; MarÃƒÂ­a Carolina SilvaÃ¢â‚¬Âde La Fuente; Marcela Lareschi; Lucila Moreno,Medical and Veterinary Entomology,2024,2016,2018,2,Tiltil,-33.081667,-70.927778,Tiltil,,Chile,South America,,3,3,3,N,,0.08,37.5,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1111/mve.12739
10.1111/mve.12739,Are <i>Rattus rattus</i> fleas invasive? Evaluation of flea communities in invasive and native rodents in Chile,Nicol LizamaÃ¢â‚¬ÂSchmeisser; Elaine Serafin de Castro; Mario EspinozaÃ¢â‚¬ÂCarniglia; Yessica Herrera; MarÃƒÂ­a Carolina SilvaÃ¢â‚¬Âde La Fuente; Marcela Lareschi; Lucila Moreno,Medical and Veterinary Entomology,2024,2016,2018,2,La Campana NP,-32.966667,-71.083333,La Campana NP,,Chile,South America,,22,22,22,N,,0.08,275,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1111/mve.12739
10.1111/mve.12739,Are <i>Rattus rattus</i> fleas invasive? Evaluation of flea communities in invasive and native rodents in Chile,Nicol LizamaÃ¢â‚¬ÂSchmeisser; Elaine Serafin de Castro; Mario EspinozaÃ¢â‚¬ÂCarniglia; Yessica Herrera; MarÃƒÂ­a Carolina SilvaÃ¢â‚¬Âde La Fuente; Marcela Lareschi; Lucila Moreno,Medical and Veterinary Entomology,2024,2016,2018,2,Huertos Familiares,-33.12745509,-70.79779027,Huertos Familiares,,Chile,South America,,2,2,2,N,,0.08,25,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1111/mve.12739
10.1111/mve.12739,Are <i>Rattus rattus</i> fleas invasive? Evaluation of flea communities in invasive and native rodents in Chile,Nicol LizamaÃ¢â‚¬ÂSchmeisser; Elaine Serafin de Castro; Mario EspinozaÃ¢â‚¬ÂCarniglia; Yessica Herrera; MarÃƒÂ­a Carolina SilvaÃ¢â‚¬Âde La Fuente; Marcela Lareschi; Lucila Moreno,Medical and Veterinary Entomology,2024,2016,2018,2,Santa Cruz,-34.637222,-71.363056,Santa Crus,,Chile,South America,,5,5,5,N,,0.08,62.5,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1111/mve.12739
10.1111/mve.12739,Are <i>Rattus rattus</i> fleas invasive? Evaluation of flea communities in invasive and native rodents in Chile,Nicol LizamaÃ¢â‚¬ÂSchmeisser; Elaine Serafin de Castro; Mario EspinozaÃ¢â‚¬ÂCarniglia; Yessica Herrera; MarÃƒÂ­a Carolina SilvaÃ¢â‚¬Âde La Fuente; Marcela Lareschi; Lucila Moreno,Medical and Veterinary Entomology,2024,2016,2018,2,Lolol,-34.726111,-71.644722,Lolol,,Chile,South America,,1,1,1,N,,0.08,12.5,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1111/mve.12739
10.1111/mve.12739,Are <i>Rattus rattus</i> fleas invasive? Evaluation of flea communities in invasive and native rodents in Chile,Nicol LizamaÃ¢â‚¬ÂSchmeisser; Elaine Serafin de Castro; Mario EspinozaÃ¢â‚¬ÂCarniglia; Yessica Herrera; MarÃƒÂ­a Carolina SilvaÃ¢â‚¬Âde La Fuente; Marcela Lareschi; Lucila Moreno,Medical and Veterinary Entomology,2024,2016,2018,2,Laguna Torca NR,-34.7681,-72.055,Laguna Torca NR,,Chile,South America,,2,2,2,N,,0.08,25,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1111/mve.12739
10.1111/mve.12739,Are <i>Rattus rattus</i> fleas invasive? Evaluation of flea communities in invasive and native rodents in Chile,Nicol LizamaÃ¢â‚¬ÂSchmeisser; Elaine Serafin de Castro; Mario EspinozaÃ¢â‚¬ÂCarniglia; Yessica Herrera; MarÃƒÂ­a Carolina SilvaÃ¢â‚¬Âde La Fuente; Marcela Lareschi; Lucila Moreno,Medical and Veterinary Entomology,2024,2016,2018,2,Los Queules NR,-35.9492,-72.6159,Los Queules NR,,Chile,South America,,4,4,4,N,,0.08,50,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1111/mve.12739
10.1111/mve.12739,Are <i>Rattus rattus</i> fleas invasive? Evaluation of flea communities in invasive and native rodents in Chile,Nicol LizamaÃ¢â‚¬ÂSchmeisser; Elaine Serafin de Castro; Mario EspinozaÃ¢â‚¬ÂCarniglia; Yessica Herrera; MarÃƒÂ­a Carolina SilvaÃ¢â‚¬Âde La Fuente; Marcela Lareschi; Lucila Moreno,Medical and Veterinary Entomology,2024,2016,2018,2,Cobquecura,-36.133333,-72.783333,Cobquecura,,Chile,South America,,1,1,1,N,,0.08,12.5,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1111/mve.12739
10.1111/mve.12739,Are <i>Rattus rattus</i> fleas invasive? Evaluation of flea communities in invasive and native rodents in Chile,Nicol LizamaÃ¢â‚¬ÂSchmeisser; Elaine Serafin de Castro; Mario EspinozaÃ¢â‚¬ÂCarniglia; Yessica Herrera; MarÃƒÂ­a Carolina SilvaÃ¢â‚¬Âde La Fuente; Marcela Lareschi; Lucila Moreno,Medical and Veterinary Entomology,2024,2016,2018,2,Quirihue,-36.283333,-72.533333,Quirihue,,Chile,South America,,77,77,77,N,,0.08,962.5,,Terrestrial,Animalia,Chordata,Mammalia,Vertebrates,Rattus rattus,10.1111/mve.12739
